,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,model name / number,price,propulsion type,region,title,url,year manufactured
0,fair,2016-12-11 16:17,"Winter is coming and the Caribbean is the perfect getaway destination to escape the cold. After 25 years of fun in the sun, it's time for someone younger to take over my boat. Planning on retiring from crewed charter business soon, I am selling my sailing yacht Jeanneau Sun Odyssey 42'. Great and ready as a live aboard boat. Sleeps 7 in 3 cabins and offers 2 bathrooms. Great galley with large stove. Cold refrigerator with freezer compartment. New house batteries. New battery charger. Inverter. If you want to go cruising, you'll need new sails, anti-fouling and electronics. Easy to sail short handed with in mast roller furling main sail and self tailing winches. Original engine in working condition. No engine hours available. No dinghy. No survey. German flag. Priced to sell. Sold as is. Located in Hurricane safe slip at Tropical Marina in St. Thomas.",,5877525164,42,Jeanneau,Sun Odyssey 42,$44900,sail, (St.Thomas),One Owner Jeanneau 42' for sale,https://virgin.craigslist.org/boa/5877525164.html,1991
1,excellent,2016-12-11 13:18,"Available January 1st. This Pursuit C310 is the perfect sized boat for charters, off-shore fishing, or long trips to Puerto Rico or St. Croix. From our slip we can get to Virgin Gorda in 50min, Jost in 25min, and St. John in 10. The dock slip at American Yacht Harbor(Red Hook) is paid through January 24th so if you buy this perfect boat for Christmas in the best dock on St. Thomas all you have to pay for is water through the holidays. Commercial insurance can be transferred if you are ready for charter. New Type II life jackets on board ready for charter. Every compartment of the boat was recently cleaned including the perfectly labeled bilge/electrical area. The boat has been dry-docked for the past 4 years but now lives in the water so it can be used any time day or night. Our slip is perfect for afternoon rides to Cruz Bay St. John for happy hour. Working GPS, navigation lights, and spotlights make navigating in the dark safe and easy. Bran new working lines that match the interior. Perfect white cushions stored below deck with snaps for easy cleaning. Adjustable bucket seats that prop you up above the windscreen for visibility in high waves. Working automatic head really comes in handy when you need it! Working GPS and sonar with huge displays. Working live-well, big fish boxes, and 16 rod-holders are perfect for fishing the drop. A Fold down stern seat offers the most stable seat in the house or fold it up when you are fighting fish. Working trim tabs for balance and fuel economy. Bluetooth radio with JL-audio speakers installed by certified JL dealer. Working windlass with 2 control points: one at the helm and one at the bow via remote control! Many bells and whistles you must see for yourself. I'm a St. Thomas local that owns a respectable business on island so please treat this listing with respect and only respond with serious inquiries. I'm willing to share my recent appraisal of the vessel which validates my asking price so there is little reason to lower my price. Absolutely no owner financing. No installment payments. I will not respond to lowball offers. Cash Only. NO TRAILER. Twin Yamaha F-250HP Max Speed: 40kts LOA 31' 2"" Beam: 9'6"" Hull Draft Motors Up:1'10"" Hull Draft Motors Down: 2'8"" Approx. Dry Weight: 8600lbs Fresh Water Capacity: 20gal Fuel Capacity: 260gal (2 tanks) Holding Tank Capacity: 20gal Livewell Capacity: 52gal Deadrise: 24 degrees",650,5914893911,31,Pursuit,C310,$98900,power, (St. Thomas),Sexy Blue 2006 31' Pursuit with Twin 250s,https://virgin.craigslist.org/boa/5914893911.html,2006
2,excellent,2016-12-11 12:29,"This boat has been well maintained by owners and excellent documentation exists for the majority of upgrades and repairs dating back to 1995. For more pictures see: www.nataniasailing.com SPECIFICATIONS: Hull: Make and Model: Beneteau Oceanis 440 Designer: Bruce Farr Year Built: 1995 Hull Material: fiberglass. Cleaned and waxed March 2014. Hull #: 01440851444016508099. United States Coast Guard Registered Vessel. LOA: 43 ft. 8 in. Beam: 14 ft. Maximum Draft: 5 ft. 9 in. Displacement: 20,500 lbs. Ballast: 7,055 lbs. Keel Type: Fin Anti-fouling history: Nov. 2016: Micron 66 paint. March 2014: Sanded to epoxy coating layer. Primed with Interlux Primocon. Applied Micron 66 ablative (soft) paint; 2 coats on all areas; 5 coats on tiller and keel. 3 coats on waterline. November 2012: Peeled and did osmosis treatment with epoxy resin coating. Painted with Seahawk Island 77 hard paint in Trinidad. Diesel Engine: Make and Model: Yanmar, 4 JH2E 4 cylinder freshwater cooled, 56 Horsepower. Year Built: 1995 Alternator sheave: 2.75 inches, engine sheave 5.0 inches Propulsion: 3 blade fixed. Cutlass bearing replaced on November 2012. Engine Alarms: Water temp, Oil pressure warning lights. Fuel Filter and Raw sea water strainer. Transmission: Kanzaki KBW20 Interiors: Cabins: 4 total; 2 forward and 2 aft. Parallel layout for forward cabins and aft cabins. Heads: 2 with showers. New toilets installed in 2013. Galley: on port side Stove and Oven: Plastimo 4500 using propane or butane. Installed new in May 2013. 2 aluminum propane tanks new from 2013. Pressure gauge new from 2014. Stainless steel sinks: double layout. Manual saltwater pump for galley sinks installed new in 2013. Pressurized freshwater for galley and heads with filter for galley valve. Refrigeration: freezer and refrigerator driven from engine cooled via cold plate. New compressor in June 2015; system serviced then too. Ventilation: all cabins and main saloon have high-efficiency multi-speed fans. Lights: all lights in the interior have been replaced with high-efficiency LEDs; ceiling LEDs for cabins and saloon and reading LED lights for cabins. All are new from early 2015. Water heater tank: 6 gallon capacity. stainless steel. New in April 2015. Saloon Table: sanded and re-furnished in 2014. Cabin exterior walls and closet exterior walls painted in 2014 and 2015. Electrical Systems: 110 AC shore power. New 30 amp cable in 2014. 12 volts DC with panel. New breaker LEDs bulbs replaced Dec 2014. House battery capacity: 3 deep cycle Trojan SCS 225 batteries rated at 130 amps hours each for a total of 390 amps hours. All new in March 2016. Engine battery: 1 Interstate Deep Cycle battery. New in June 2015. Electronics and Navigation: Compass: 3 total; 1 cockpit manual, 1 electronic in GPS, 1 electronic in autopilot. Wind: wind direction indicator on top of masthead. VHF: 1 Standard Horizon GX2150 with AIS as main station (new 2012), 1 handheld VHF Standard Horizon with GPS connected to AIS in main station (new Dec 2014). External remote VHF Standard Horizon Remote microphone RAM3 at cockpit with full functionality. External Standard Horizon 10 watts marine VHF speaker. All these new in Dec. 2014. VHF antenna: Mertz sailboat model with lifetime warranty installed at masthead; new Dec 2014. All new gold plated connectors at antenna and VHF main station. New RG-58x coax cable run with no cuts in between. Tested to 30-40+ nautical mile range. GPS: 1 NAVMAN 5500i Chart-plotter with updated charts in 2013 for Mediterranean to Azores, U.S.A. East Coast and Caribbean. Autopilot: Raymarine ST6002 Depth Sounder: Raymarine ST40 Marine Stereo: Dual band radio, CD, ipod. Installed new 2012. Marine grade speakers. Navigation Lights: Dual red-green bow LEDs, white stern LEDs. All new in Dec. 2014. Anchor Light: AquaSignal programmable multi-function LED. New Dec 2014 Steaming and Deck Light: AquaSignal Series 41LEDs. New in Oct 2016. Cockpit Lights: multi-switch for LED lights for red or white. Also, red LEDs for instrument panel. All new Dec 2014. Interior red or white LED lights designed for night navigation. Barometer: brass manual. Wireless and Ethernet long range antenna. New 2014. Sails: Main: In-mast roller furling with Doyle sail in good condition with telltales installed. Sail about 7 years old. Genoa: Pro-Furl with 130% sail with new sun protection strip added in 2012. Spinnaker: BM Sails. Luff = 60'8""; Leech = 57'8"" Sail angle on the head = 80 degrees; 1.5 oz. weight on fabric Storm sail: Foot= 10'2"", Luff=19'2"", Leech=14'6"" Others: Extra Main Johnson Sails. Foot = 16'3"", Luff = 47'0"" and Leech = 45'6."" Tanks: Fuel: 1 stainless steel 52.6 gallons (200 liters). Pulled out and cleaned Fall 2013. Freshwater: 3 tanks for a total capacity of 206 gallons (785 liters); port and starboard tanks 67 gallons each (255 liters), bow tank 72 gallons (275 liters). Anchor and Rode Specs: Bow: CQR 35 lbs. anchor: 125 ft. of chain, 100 ft. of line. Secondary Bow: Delta 44 lbs. with chain and 122 ft. of line. Electric windlass in bow compartment. Stern: Danforth type with chain and line. Standing Rigging: All inspected in December 2014 and found in good condition. Mast: Z-Spars aluminum keel stepped. Backstay: double backstays installed new in 2012. Winches: 2 Lewmar Evo 54 Stainless steel 2 speed; 2 Lewmar Evo 40 Stainless steel 2 speed. Running Rigging: Head Sail: Head sail furling line: 10 mm (ca. 3/8"") New England Sta set blue color (Dacron double parallel core) with 93 ft. in length. New installation in 11/2014. Head sail sheets: 15 mm braided with 42 ft. in length. Main Sail: Main sail outhaul line: 10mm (ca. 3/8"") New England Sta-set blue color. New installation in 7/2014. Main sail furling line: 8mm New England Sta set (Dacron double parallel core) red color. New installation in 7/2014. Spinnaker Sail: 2nd halyard: 12 mm (ca. 1/2"") New England VPC red fleck (core of blended Vectran and polyolefin with a polyester cover) with 109 feet. Installed new on 11-2014. Sheets: 1 line at 3/8"" with 54 ft. in length white color, 1 line at 3/8"" with 84 ft. in length white color with blue stain. Deck: Material: fiberglass. Swim Platform: stainless steel ladder with new steps. Opening portholes: 5 on each side. Hull port glasses: 4 on each side. Deck hatches: 6 total; 3 forward hatches Lewmar Ocean Trim. New in 2013. Cockpit Cooler: located on table console additional insulation added in 2014. Bimini Top Canvas: new in 2013. Dodger Canvas: Owner custom designed Sunbrella Pacific Blue which integrates life preservers under canvas. New in March 2015. Dinghy motor davit: new line installed March 2015. Lifelines: all stainless steel. Sunbrella Pacific Blue canvas covering from front shrouds to dodger for shade while at anchor. New in Feb. 2015. Safety Equipment: Fire Extinguishers: 3 Fire Blanquet: 1 Life Preservers: 10 Man-over-board pole: 1 Man-over-board life preservers: 2 Life raft: 6 person Plastimo Trans Ocean, re-certified in May 2013. Sunbella Pacific Blue canvas cover in Feb. 2015. Emergency Tiller. EPIRB: ACR Global Fix Pro. New in 2012. Horns: manual and compressed gas. Flares: Orion kit. New 2015. Manual bilge pump in cockpit. Carbon Monoxide alarm: 1 in galley area, new Fall 2014. Gas alarm: 1 in galley area. Detects propane and natural gas. New Fall 2014. Other Equipment: Dock lines: new 2014. Fenders: 6 with canvas covers. Covers new in Feb. 2015. Dinghy: 11 ft. inflatable AB AL320. New Sunbrella Pacific Blue canvas cover February 2015. Dinghy Motor: Tohatsu 18 hp with gas can. Sunbrella Pacific Blue canvas cover new 2015. BBQ: Magma portable with rail mount, propane gas operated. Flag Halyards: port and starboard sides. New in 2014. Miscellaneous cleaners, spare parts for engines and other areas. Due to spam, I only respond to emails which appear legitimate. If interested please email.  Thank you.",,5893365197,44,Beneteau,Oceanis 440,$88500,sail,,Beneteau 44' Oceanis Year 1995,https://virgin.craigslist.org/boa/5893365197.html,1995
3,,2016-12-11 11:21,"High styled inboard powered jet-drive inflatable. Built with safe, side by side sensible seating. It has plenty of power and only weighs about 500lbs which makes it ideal for a great yacht tender. The RIB 10 JET  is truly a versatile, family watercraft perfect for any occasion",,5914774140,12,,,$6500,power, (St Thomas),NAUTICA RIB 10 JET,https://virgin.craigslist.org/boa/5914774140.html,
4,,2016-12-11 10:39,"51  Morgan outisland, 1979. Perkins (6-354). All Roller furling  rigg, Nice boat, $75,000.00 obo Capt Burt.",234,5903020938,51,"51,morgan",Outisland,$75000,sail, (Coconut Grove),51 Morgan outisland,https://virgin.craigslist.org/boa/5903020938.html,1979
5,good,2016-12-11 09:39,"Need to sell. Taking offers..... 2011 Sea Hunt Escape 207 LE 2011 Yamaha 150 4-stroke  (1000+ hrs) 2014 Continental tandem axle trailer Nice Boat.  Runs Great.  Great on fuel.  Length 20'7"",   Wide Beam 8'3"" , Deep gunnels for a dry ride. Combo type boat with pleanty of seating and built in cooler for cruising, rod holders and live well for fishing, gas sipping 4 stroke for island hopping. Swim platforms and fold down ladder make for easy reboarding after snorkeling. 60 gal gas tank, bottom painted July 2016. Annual engine maintenance Oct 2016, bimini top, hydraulic steering, ski pole for towing, live well, porta potty, dual batteries with on/off switch, raw water wash down, boarding ladder, stern swim platforms, lots of seating with cushions, passenger side lounge, plenty of storage, built in cooler, 4 speaker stereo with aux input. Life Jackets, anchor, lines, and fenders included. Rated for 7 people. We made comfortable trips with 2 -- 5 people on board to Jost Van Dyke, Tortola, Norman Island, St. John and Culebra as well as several circumnavigations of St. Thomas. Contact Info: show contact info Asking $22,000.  Need to sell...  Make an offer...",,5914682156,21,Sea Hunt,Escape 207 LE,$22000,power, (St. Thomas-Water Island),2011 Sea Hunt 207 Escape LE,https://virgin.craigslist.org/boa/5914682156.html,2011
6,fair,2016-12-10 09:35,"Have a 1979 hunter 27 sloop for sale in great Cruz bay, st John. Clean, 6' head clearance, all fiber glass, no rain leaks. Have dinghy, kayak, new hinging outboard bracket for transom, new fuel tank and hose. Needs work but it's a great cheap live aboard now",0,5913377973,27,Hunter marine,Sloop,$1600,sail," (Great Cruz bay, st John)","1979 Hunter 27 sloop in great Cruz bay, St John",https://virgin.craigslist.org/boa/5913377973.html,1979
7,good,2016-12-10 08:34,"Great boat for a sailor / craftsman looking for a project boat. Good solid hull and lots of potential to be a blue water sailor. Smooth running 4-108 Perkins diesel (low hours after overhaul...runs strong), new head in 2015, 300 watts solar panels, newly upholstered interior, new forward chain plate, some new running rigging and other rigging professionally checked two years ago and in good condition. New cabin sole, rebuilt sea hood, life lines replaced 3 years ago. Refurbished staysail boom. Three sails and sail covers in good condition. New bottom paint, the boat is hauled out every year for several months. Refrigeration and stove included. Decks, trim, hatches all need TLC. Boat is currently actively sailing, in the water on St. John, USVI. Great live-aboard. MUST SEE! No reasonable offer refused. This boat has everything functional but needs some TLC.. Owners are getting into their 60's and can not give it the attention it deserves... We sail her often but having trouble keeping up with maintenance. More photos available upon request, Text or call the phone number listed or email me directly with your email address. Reasonable offers encouraged.",,5913336245,37,Tayana,,$25000,sail," (St John, USVI)","37' Tayana sailboat MKII, 1978",https://virgin.craigslist.org/boa/5913336245.html,1978
8,new,2016-12-10 07:13,Make the holiday special with a new Gheenoe boat. In stock we have 4 15'4ft and 1 13ft. don't wait . show contact info IF YOU NEEDED SHIPPED NO PROBLEM  .....,,5889141714,15,Gheenoe,classic,,power,,NEW GHEENOES,https://virgin.craigslist.org/boa/5889141714.html,2017
9,,2016-12-09 17:14,I'm looking for a small inflatable dinghy. Could be up to 10'. With our without motor is fine. Let me know what you have!,,5912684865,8,ANY,Any,,power,,WTB 8-10' dinghy,https://virgin.craigslist.org/boa/5912684865.html,
10,good,2016-12-09 11:01,"Selling a well conditioned 22' Proline powerboat. Small cabin, perfect for island hopping or day trips.  Comes with a trailer for easy access to and from the water. Recently serviced:: *2006* 175hp Mercury Verado 4-stroke engine, running great. Won't last long.",,5912069441,22,ProLine,,$12500,power," (Coral Bay, STJ)",22' Proline w/ 175hp Mercury Verado **TRAILER INCLUDED**,https://virgin.craigslist.org/boa/5912069441.html,1994
11,good,2016-12-09 10:55,Hi We are selling our successful day sailing and snorkeling business located in St. Thomas VI. Great income with room for growth....survey and more information upon request,,5912062750,37,,,$65000,sail, (st thomas VI),Day-Sailing Business & Tartan 37,https://virgin.craigslist.org/boa/5912062750.html,
12,good,2016-12-09 10:12,"I'm looking to buy a well taken care of inflatable dinghy in the 10 foot or so range. 9' would work, and could probably make 11' or 12' work. Outboard needs to be reliable. Text me with what you have and price. If it's not on St Thomas, or in the Red Hook area, we may be able to make arrangements. Thanks!",,5912008952,10,inflatable,dinghy,$1,power, (St Thomas - Red Hook),Wanted - inflatable dinghy,https://virgin.craigslist.org/boa/5912008952.html,
13,,2016-12-09 07:58,"For sell 55' Aluminum Mast out of 50' catamaran / cut in three pieces ... two 24' length great beams, too build a big beach cat with ...$500 .. call show contact info",,5869876696,55,,,$500,sail, (ST. John),55' Aluminum Mast for a 50' cateraman,https://virgin.craigslist.org/boa/5869876696.html,
14,,2016-12-09 05:42,"Spinlock tiller extension that extends 24"" to 36"".  Round grip plastic handle .  Like new. Model E-900S",,5911862635,36,,,$35,sail, (STX),Spinlock Tiller Extension for sale,https://virgin.craigslist.org/boa/5911862635.html,
15,new,2016-12-08 18:49,"Web Spot Boat Wash Down System , $800 New / Never Used. Great to wash down boat, NO SPOTS!! Will sell for $500 firm Call Ted At show contact info $800 on amazon and other site:  Will sell for $500  firm Wet Spot Plus by Wet Spot Price:	$722.38 + $60 shipping",0,5911397692,36,Wet Spot,Extra Large,$500,human, (St John),Soft Spot Boat Wash Down System,https://virgin.craigslist.org/boa/5911397692.html,2016
16,excellent,2016-12-08 18:42,"We can also help you charter this boat . 43 Ft Chris Craft Roamer  2004 m/y USCG Documented vessel, well maintained. Self-contained excellent live aboard boat  Update electronics and controls, Fusion sound 10 speaker system, water maker, solar panels many updates. All new Seat and Enclosures Capt Ted Prosser See more at www.bluemysticcharters.com. Dimensions LOA: 43 ft 0 in Beam: 14 ft 0 in Maximum Draft: 3 ft 2 in Dry Weight: 27000 lbs Engines Two (2) Total Power: 880 HP Engine 1: Engine Brand: Yanmar Year Built: 2004 Engine Model: 440 Engine/Fuel Type: diesel Engine Power: 440 HP Cruising Speed: 20 knots Maximum Speed: 25 knots Tanks Fresh Water Tanks: (95 Gallons) Fuel Tanks: (400 Gallons) Holding Tanks: (35 Gallons) Accommodations Number of cabins: 2 Number of heads: 2 Watermaker and Generator Solar Panels",789,5911362251,43,Chris Craft,2004 Roamer 43,$215000,power," (St John, USVI)",Charter Boat Chris Craft 2004  / St John,https://virgin.craigslist.org/boa/5911362251.html,
17,excellent,2016-12-08 18:28,"43 Ft Chris Craft Roamer  2004 m/y Coast Guard Documented vessel, well maintained. Self-contained excellent live aboard boat  Update electronics and controls, Fusion sound 10 speaker system, water maker, solar panels many updates. New seat , enclosure ! Capt Ted Prosser See more at www.bluemysticcharters.com. Dimensions LOA: 43 ft 0 in Beam: 14 ft 0 in Maximum Draft: 3 ft 2 in Dry Weight: 27000 lbs Engines Two (2) Total Power: 880 HP Engine 1: Engine Brand: Yanmar Year Built: 2004 Engine Model: 440 Engine/Fuel Type: diesel Engine Power: 440 HP Cruising Speed: 20 knots Maximum Speed: 25 knots Tanks Fresh Water Tanks: (95 Gallons) Fuel Tanks: (400 Gallons) Holding Tanks: (35 Gallons) Accommodations Number of cabins: 2 Number of heads: 2 Watermaker and Generator Solar Panels",789,5911368995,43,Chris Craft,2004 Roamer 43,$215000,power," (St John, USVI)",Chris Craft 2004  St John,https://virgin.craigslist.org/boa/5911368995.html,
18,excellent,2016-12-08 18:27,"43 Ft Chris Craft Roamer  2004 m/y Coast Guard Documented vessel, well maintained. Self-contained excellent live aboard boat  Update electronics and controls, Fusion sound 10 speaker system, water maker, solar panels many updates. New seat , enclosure ! Capt Ted Prosser See more at www.bluemysticcharters.com. Dimensions LOA: 43 ft 0 in Beam: 14 ft 0 in Maximum Draft: 3 ft 2 in Dry Weight: 27000 lbs Engines Two (2) Total Power: 880 HP Engine 1: Engine Brand: Yanmar Year Built: 2004 Engine Model: 440 Engine/Fuel Type: diesel Engine Power: 440 HP Cruising Speed: 20 knots Maximum Speed: 25 knots Tanks Fresh Water Tanks: (95 Gallons) Fuel Tanks: (400 Gallons) Holding Tanks: (35 Gallons) Accommodations Number of cabins: 2 Number of heads: 2 Watermaker and Generator Solar Panels",789,5911367796,43,Chris Craft,2004 Roamer 43,$215000,power," (St John, USVI)",Chris Craft 2004  St John,https://virgin.craigslist.org/boa/5911367796.html,
19,good,2016-12-08 14:54,"1996 19' Bayliner walk around cuddy cabin. Has a 2003 Johnson 150hp with very low hours. Motor has been completely gone through, tuned up, and runs excellent. Many new parts, bilge pumps, dual batteries, fuel/water separator, rod holders, vhf marine radio (solar powered), bimini top, has bracket for small kicker motor, bottom is freshly painted. VRO is disconnected and pre-mix fuel/oil. Comes with trailer that has new hubs/bearings and bunks. Great boat to run around with to Buck, fishing/diving etc. Reduced Priced by 2K  for quick sale. Call show contact info",,5897694380,19,Bayliner,Trophy,$9500,power, (STX),Bayliner Trophy Boat,https://virgin.craigslist.org/boa/5897694380.html,1996
20,,2016-12-08 10:15,"Laser sailboat hull and dolly great learner or 1st boat to get into sailing, this boat needs mast ,sail ,and rudder ,and lines .",,5910598945,14,,,$300,sail, (st croix),Laser  sailboat hull  and dolly,https://virgin.craigslist.org/boa/5910598945.html,
21,,2016-12-08 09:26,"re certified in 2015 75 & 68 man lifeboats with dual starting systems and 80hp engine, fiberglass hull, great for conversions into live aboard, fishing boat, ferryboat, dive boat, whale watching boat. Boats are in perfect working order with current certification.",,5910511824,34,,,$5000,power, (gulf of mexico),75 & 68 man lifeboats,https://virgin.craigslist.org/boa/5910511824.html,
22,good,2016-12-08 09:12,"40 Ft charter catamaran actively being used to take daysail snorkel trips. Boat comes with all safety and snorkel gear.  Coast guard certified and inspected for 33 passengers and 2 crew.  All paperwork is current. 40hp yamaha, electric head, stereo and chart plotter.",,5892246619,40,,,$95000,sail, (St. Thomas),Charter catamaran for sale,https://virgin.craigslist.org/boa/5892246619.html,1980
23,good,2016-12-08 07:20,"Cal 27' located on a permanent mooring. The boat is in generally good condition and currently sailed on a regular basis. Set up as a live aboard with head and holding tank, solar panel, led lights and good fans. New North mainsail, good ground tackle, large awning, new standing rigging. Comes with Tortola skiff as a dinghy. Last hauled out 8 months ago, clean bottom! Boat is ready to sail, and be lived on.",,5910481039,27,Cal yachts,Cal 272,$10000,sail, (St John),Cal 27 on St John,https://virgin.craigslist.org/boa/5910481039.html,1978
